time,close
03-15-17,100.74
03-16-17,100.36
03-17-17,100.3
03-20-17,100.41
03-21-17,99.813
03-22-17,99.677
03-23-17,99.76
03-24-17,99.627
03-27-17,99.166
03-28-17,99.712
03-29-17,99.998
03-30-17,100.41
03-31-17,100.35
04-03-17,100.54
04-04-17,100.54
04-05-17,100.56
04-06-17,100.67
04-07-17,101.18
04-10-17,101.02
04-11-17,100.71
04-12-17,100.78
04-13-17,100.56
04-17-17,100.29
04-18-17,99.499
04-19-17,99.738
04-20-17,99.778
04-21-17,99.977
04-24-17,99.092
04-25-17,98.785
04-26-17,99.045
04-27-17,99.076
04-28-17,99.05
05-01-17,99.077
05-02-17,98.976
05-03-17,99.209
05-04-17,98.797
05-05-17,98.648
05-08-17,99.06
05-09-17,99.658
05-10-17,99.669
05-11-17,99.623
05-12-17,99.252
05-15-17,98.911
05-16-17,98.105
05-17-17,97.575
05-18-17,97.879
05-19-17,97.142
05-22-17,96.984
05-23-17,97.351
05-24-17,97.238
05-25-17,97.248
05-26-17,97.442
05-30-17,97.28
05-31-17,96.922
06-01-17,97.198
06-02-17,96.715
06-05-17,96.799
06-06-17,96.636
06-07-17,96.748
06-08-17,96.918
06-09-17,97.274
06-12-17,97.138
06-13-17,96.975
06-14-17,96.939
06-15-17,97.433
06-16-17,97.164
06-19-17,97.548
06-20-17,97.76
06-21-17,97.559
06-22-17,97.593
06-23-17,97.264
06-26-17,97.426
06-27-17,96.394
06-28-17,96.01
06-29-17,95.628
06-30-17,95.628
07-03-17,96.218
07-05-17,96.29
07-06-17,95.802
07-07-17,96.008
07-10-17,96.022
07-11-17,95.669
07-12-17,95.761
07-13-17,95.728
07-14-17,95.153
07-17-17,95.128
07-18-17,94.604
07-19-17,94.779
07-20-17,94.306
07-21-17,93.858
07-24-17,93.977
07-25-17,94.054
07-26-17,93.672
07-27-17,93.864
07-28-17,93.259
07-31-17,92.863
08-01-17,93.043
08-02-17,92.836
08-03-17,92.839
08-04-17,93.542
08-07-17,93.432
08-08-17,93.647
08-09-17,93.548
08-10-17,93.401
08-11-17,93.069
08-14-17,93.411
08-15-17,93.853
08-16-17,93.541
08-17-17,93.622
08-18-17,93.434
08-21-17,93.095
08-22-17,93.545
08-23-17,93.147
08-24-17,93.277
08-25-17,92.74
08-28-17,92.207
08-29-17,92.249
08-30-17,92.884
08-31-17,92.668
09-01-17,92.814
09-05-17,92.252
09-06-17,92.29
09-07-17,91.663
09-08-17,91.352
09-11-17,91.875
09-12-17,91.882
09-13-17,92.52
09-14-17,92.124
09-15-17,91.872
09-18-17,92.047
09-19-17,91.793
09-20-17,92.508
09-21-17,92.259
09-22-17,92.171
09-25-17,92.648
09-26-17,92.966
09-27-17,93.361
09-28-17,93.085
09-29-17,93.076
10-02-17,93.559
10-03-17,93.569
10-04-17,93.458
10-05-17,93.961
10-06-17,93.8
10-09-17,93.675
10-10-17,93.29
10-11-17,93.015
10-12-17,93.057
10-13-17,93.091
10-16-17,93.312
10-17-17,93.486
10-18-17,93.363
10-19-17,93.266
10-20-17,93.701
10-23-17,93.936
10-24-17,93.772
10-25-17,93.711
10-26-17,94.612
10-27-17,94.916
10-30-17,94.56
10-31-17,94.552
11-01-17,94.815
11-02-17,94.685
11-03-17,94.941
11-06-17,94.757
11-07-17,94.913
11-08-17,94.866
11-09-17,94.444
11-10-17,94.391
11-13-17,94.49
11-14-17,93.827
11-15-17,93.813
11-16-17,93.932
11-17-17,93.662
11-20-17,94.08
11-21-17,93.952
11-22-17,93.22
11-24-17,92.782
11-27-17,92.904
11-28-17,93.27
11-29-17,93.164
11-30-17,93.047
12-01-17,92.885
12-04-17,93.188
12-05-17,93.379
12-06-17,93.61
12-07-17,93.795
12-08-17,93.901
12-11-17,93.866
12-12-17,94.101
12-13-17,93.429
12-14-17,93.489
12-15-17,93.932
12-18-17,93.695
12-19-17,93.441
12-20-17,93.313
12-21-17,93.278
12-22-17,93.347
12-26-17,93.257
12-27-17,93.025
12-28-17,92.602
12-29-17,92.124
01-02-18,91.872
01-03-18,92.162
01-04-18,91.853
01-05-18,91.949
01-08-18,92.358
01-09-18,92.528
01-10-18,92.332
01-11-18,91.852
01-12-18,90.974
01-16-18,90.393
01-17-18,90.541
01-18-18,90.498
01-19-18,90.572
01-22-18,90.401
01-23-18,90.124
01-24-18,89.206
01-25-18,89.391
01-26-18,89.067
01-29-18,89.308
01-30-18,89.16
01-31-18,89.133
02-01-18,88.671
02-02-18,89.195
02-05-18,89.554
02-06-18,89.585
02-07-18,90.255
02-08-18,90.229
02-09-18,90.442
02-12-18,90.208
02-13-18,89.703
02-14-18,89.121
02-15-18,88.593
02-16-18,89.1
02-20-18,89.716
02-21-18,90
02-22-18,89.736
02-23-18,89.883
02-26-18,89.853
02-27-18,90.355
02-28-18,90.613
03-01-18,90.324
03-02-18,89.935
03-05-18,90.08
03-06-18,89.618
03-07-18,89.637
03-08-18,90.179
03-09-18,90.093
03-12-18,89.895
03-13-18,89.664
03-14-18,89.704
03-15-18,90.139
03-16-18,90.233
03-19-18,89.765
03-20-18,90.371
03-21-18,89.783
03-22-18,89.857
03-23-18,89.436
03-26-18,89.027
03-27-18,89.372
03-28-18,90.058
03-29-18,90.151
04-02-18,90.052
04-03-18,90.2
04-04-18,90.142
04-05-18,90.46
04-06-18,90.108
04-09-18,89.838
04-10-18,89.587
04-11-18,89.568
04-12-18,89.751
04-13-18,89.8
04-16-18,89.425
04-17-18,89.516
04-18-18,89.623
04-19-18,89.94
04-20-18,90.316
04-23-18,90.946
04-24-18,90.766
04-25-18,91.172
04-26-18,91.561
04-27-18,91.542
04-30-18,91.841
05-01-18,92.449
05-02-18,92.512
05-03-18,92.414
05-04-18,92.566
05-07-18,92.749
05-08-18,93.12
05-09-18,93.04
05-10-18,92.65
05-11-18,92.537
05-14-18,92.587
05-15-18,93.219
05-16-18,93.392
05-17-18,93.469
05-18-18,93.637
05-21-18,93.677
05-22-18,93.609
05-23-18,94.003
05-24-18,93.758
05-25-18,94.188
05-29-18,94.833
05-30-18,94.153
05-31-18,93.985
06-01-18,94.191
06-04-18,94.02
06-05-18,93.898
06-06-18,93.66
06-07-18,93.397
06-08-18,93.551
06-11-18,93.576
06-12-18,93.802
06-13-18,93.713
06-14-18,94.772
06-15-18,94.789
06-18-18,94.801
06-19-18,95.085
06-20-18,95.055
06-21-18,94.743
06-22-18,94.517
06-25-18,94.276
06-26-18,94.659
06-27-18,95.268
06-28-18,95.386
06-29-18,94.636
07-02-18,95.035
07-03-18,94.671
07-05-18,94.469
07-06-18,94.036
07-09-18,94.078
07-10-18,94.152
07-11-18,94.72
07-12-18,94.806
07-13-18,94.752
07-16-18,94.511
07-17-18,94.945
07-18-18,95.08
07-19-18,95.154
07-20-18,94.449
07-23-18,94.669
07-24-18,94.608
07-25-18,94.363
07-26-18,94.75
07-27-18,94.675
07-30-18,94.324
07-31-18,94.493
08-01-18,94.624
08-02-18,95.159
08-03-18,95.143
08-06-18,95.357
08-07-18,95.216
08-08-18,95.051
08-09-18,95.504
08-10-18,96.357
08-13-18,96.391
08-14-18,96.731
08-15-18,96.696
08-16-18,96.645
08-17-18,96.101
08-20-18,95.9
08-21-18,95.256
08-22-18,95.146
08-23-18,95.666
08-24-18,95.146
08-27-18,94.779
08-28-18,94.72
08-29-18,94.6
08-30-18,94.723
08-31-18,95.14
09-04-18,95.439
09-05-18,95.184
09-06-18,95.021
09-07-18,95.365
09-10-18,95.15
09-11-18,95.249
09-12-18,94.799
09-13-18,94.518
09-14-18,94.927
09-17-18,94.496
09-18-18,94.64
09-19-18,94.537
09-20-18,93.912
09-21-18,94.22
09-24-18,94.185
09-25-18,94.133
09-26-18,94.193
09-27-18,94.894
09-28-18,95.132
10-01-18,95.298
10-02-18,95.507
10-03-18,95.762
10-04-18,95.751
10-05-18,95.624
10-08-18,95.761
10-09-18,95.668
10-10-18,95.508
10-11-18,95.017
10-12-18,95.221
10-15-18,95.059
10-16-18,95.048
10-17-18,95.575
10-18-18,95.9
10-19-18,95.713
10-22-18,96.013
10-23-18,95.961
10-24-18,96.434
10-25-18,96.679
10-26-18,96.359
10-29-18,96.579
10-30-18,97.011
10-31-18,97.127
11-01-18,96.277
11-02-18,96.542
11-05-18,96.279
11-06-18,96.317
11-07-18,95.997
11-08-18,96.724
11-09-18,96.905
11-12-18,97.542
11-13-18,97.303
11-14-18,96.803
11-15-18,96.927
11-16-18,96.465
11-19-18,96.193
11-20-18,96.836
11-21-18,96.712
11-23-18,96.916
11-26-18,97.074
11-27-18,97.369
11-28-18,96.786
11-29-18,96.778
11-30-18,97.272
12-03-18,97.04
12-04-18,96.965
12-05-18,97.07
12-06-18,96.81
12-07-18,96.514
12-10-18,97.219
12-11-18,97.388
12-12-18,97.044
12-13-18,97.064
12-14-18,97.443
12-17-18,97.1
12-18-18,97.104
12-19-18,97.035
12-20-18,96.276
12-21-18,96.956
12-24-18,96.553
12-26-18,97.05
12-27-18,96.481
12-28-18,96.402
12-31-18,96.173
01-02-19,96.819
01-03-19,96.305
01-04-19,96.179
01-07-19,95.666
01-08-19,95.903
01-09-19,95.219
01-10-19,95.539
01-11-19,95.67
01-14-19,95.61
01-15-19,96.039
01-16-19,96.059
01-17-19,96.065
01-18-19,96.336
01-22-19,96.303
01-23-19,96.123
01-24-19,96.601
01-25-19,95.794
01-28-19,95.746
01-29-19,95.821
01-30-19,95.34
01-31-19,95.578
02-01-19,95.579
02-04-19,95.852
02-05-19,96.067
02-06-19,96.39
02-07-19,96.507
02-08-19,96.637
02-11-19,97.057
02-12-19,96.709
02-13-19,97.129
02-14-19,96.978
02-15-19,96.904
02-19-19,96.52
02-20-19,96.454
02-21-19,96.605
02-22-19,96.507
02-25-19,96.413
02-26-19,96.003
02-27-19,96.154
02-28-19,96.157
03-01-19,96.527
03-04-19,96.682
03-05-19,96.866
03-06-19,96.873
03-07-19,97.667
03-08-19,97.306
03-11-19,97.215
03-12-19,96.935
03-13-19,96.55
03-14-19,96.785
03-15-19,96.595
03-18-19,96.524
03-19-19,96.383
03-20-19,95.761
03-21-19,96.495
03-22-19,96.651
03-25-19,96.566
03-26-19,96.736
03-27-19,96.774
03-28-19,97.202
03-29-19,97.284
04-01-19,97.232
04-02-19,97.361
04-03-19,97.091
04-04-19,97.308
04-05-19,97.395
04-08-19,97.05
04-09-19,97.006
04-10-19,96.946
04-11-19,97.177
04-12-19,96.972
04-15-19,96.942
04-16-19,97.043
04-17-19,97.009
04-18-19,97.474
04-22-19,97.287
04-23-19,97.636
04-24-19,98.173
04-25-19,98.203
04-26-19,98.006
04-29-19,97.857
04-30-19,97.479
05-01-19,97.686
05-02-19,97.832
05-03-19,97.52
05-06-19,97.515
05-07-19,97.628
05-08-19,97.623
05-09-19,97.373
05-10-19,97.33
05-13-19,97.319
05-14-19,97.526
05-15-19,97.569
05-16-19,97.855
05-17-19,97.995
05-20-19,97.933
05-21-19,98.062
05-22-19,98.041
05-23-19,97.856
05-24-19,97.613
05-28-19,97.952
05-29-19,98.144
05-30-19,98.142
05-31-19,97.75
06-03-19,97.142
06-04-19,97.072
06-05-19,97.32
06-06-19,97.044
06-07-19,96.544
06-10-19,96.761
06-11-19,96.686
06-12-19,97
06-13-19,97.013
06-14-19,97.572
06-17-19,97.558
06-18-19,97.644
06-19-19,97.117
06-20-19,96.629
06-21-19,96.22
06-24-19,95.98
06-25-19,96.14
06-26-19,96.214
06-27-19,96.194
06-28-19,96.13
07-01-19,96.844
07-02-19,96.726
07-03-19,96.768
07-05-19,97.286
07-08-19,97.384
07-09-19,97.489
07-10-19,97.104
07-11-19,97.05
07-12-19,96.81
07-15-19,96.933
07-16-19,97.395
07-17-19,97.223
07-18-19,96.794
07-19-19,97.151
07-22-19,97.257
07-23-19,97.705
07-24-19,97.729
