time,usdjpy close,usejpy volume,eurusd close,eurusd volume
1/4/19 14:00,108.45,41649,1.14053,81649
1/4/19 18:00,108.516,16050,1.13944,28295
1/6/19 22:00,108.37,13790,1.1421,10351
1/7/19 2:00,108.193,13762,1.14238,11079
1/7/19 6:00,108.198,18377,1.14414,33808
1/7/19 10:00,108.356,13989,1.1458,29763
1/7/19 14:00,108.608,25628,1.14688,48858
1/7/19 18:00,108.716,12469,1.14745,18800
1/7/19 22:00,108.563,9970,1.14487,11689
1/8/19 2:00,108.786,12241,1.14436,13456
1/8/19 6:00,108.875,17602,1.14524,31675
1/8/19 10:00,108.874,16981,1.14274,36226
1/8/19 14:00,108.59,26907,1.14541,44990
1/8/19 18:00,108.733,10334,1.14418,14872
1/8/19 22:00,108.792,9124,1.14574,8616
1/9/19 2:00,108.854,11232,1.14604,11046
1/9/19 6:00,108.909,14663,1.14608,34486
1/9/19 10:00,108.75,14182,1.14626,36748
1/9/19 14:00,108.32,36260,1.15325,88102
1/9/19 18:00,108.162,19758,1.15428,43003
1/9/19 22:00,107.97,14029,1.15538,14191
1/10/19 2:00,107.91,12604,1.15602,12700
1/10/19 6:00,108.094,17404,1.15242,43683
1/10/19 10:00,108.194,13782,1.15202,39244
1/10/19 14:00,108.392,24556,1.15064,51777
1/10/19 18:00,108.428,14883,1.15001,28246
1/10/19 22:00,108.398,8876,1.15176,9260
1/11/19 2:00,108.3,8252,1.15251,10584
1/11/19 6:00,108.335,11032,1.15196,29784
1/11/19 10:00,108.204,13955,1.15268,45879
1/11/19 14:00,108.408,23470,1.14822,63315
1/11/19 18:00,108.514,5671,1.14677,18767
1/13/19 22:00,108.206,5098,1.14764,6734
1/14/19 2:00,108.108,6532,1.14787,9928
1/14/19 6:00,108.146,11875,1.14624,36269
1/14/19 10:00,108.198,14986,1.14596,45144
1/14/19 14:00,108.186,17644,1.14766,43230
1/14/19 18:00,108.159,6632,1.14692,14297
1/14/19 22:00,108.41,10199,1.14846,8332
1/15/19 2:00,108.718,11466,1.1483,9660
1/15/19 6:00,108.564,13533,1.14334,38832
1/15/19 10:00,108.362,18539,1.1439,46309
1/15/19 14:00,108.622,24124,1.139,61921
1/15/19 18:00,108.7,15312,1.14124,41647
1/15/19 22:00,108.428,8202,1.13982,10140
1/16/19 2:00,108.479,8082,1.1412,12140
1/16/19 6:00,108.63,10763,1.14108,37245
1/16/19 10:00,108.809,12153,1.139,36803
1/16/19 14:00,108.968,17919,1.13998,40137
1/16/19 18:00,109.088,13325,1.1391,24132
1/16/19 22:00,108.903,8562,1.1394,8119
1/17/19 2:00,108.946,8341,1.13876,11481
1/17/19 6:00,108.738,13942,1.13942,34194
1/17/19 10:00,108.85,12772,1.13978,36453
1/17/19 14:00,108.978,18457,1.13862,43398
1/17/19 18:00,109.258,18358,1.13885,31441
1/17/19 22:00,109.36,12502,1.13955,8907
1/18/19 2:00,109.361,9762,1.1389,10965
1/18/19 6:00,109.568,12154,1.1398,26515
1/18/19 10:00,109.428,12767,1.1398,27951
1/18/19 14:00,109.841,24275,1.13582,52954
1/18/19 18:00,109.774,9791,1.13628,18024
1/20/19 22:00,109.526,9165,1.13758,6937
1/21/19 2:00,109.552,8656,1.13782,8549
1/21/19 6:00,109.674,8400,1.13716,23970
1/21/19 10:00,109.674,6721,1.1361,21938
1/21/19 14:00,109.638,6473,1.13685,21542
1/21/19 18:00,109.67,2512,1.13663,5631
1/21/19 22:00,109.631,7332,1.13697,7149
1/22/19 2:00,109.432,9539,1.13576,10683
1/22/19 6:00,109.467,11813,1.13602,30885
1/22/19 10:00,109.446,8836,1.1346,27190
1/22/19 14:00,109.326,16449,1.1369,36864
1/22/19 18:00,109.374,14071,1.13608,20310
1/22/19 22:00,109.66,9095,1.13653,9247
1/23/19 2:00,109.626,9937,1.1368,9614
1/23/19 6:00,109.668,11512,1.13562,27483
1/23/19 10:00,109.846,11009,1.13549,32762
1/23/19 14:00,109.462,22831,1.13928,46449
1/23/19 18:00,109.614,9160,1.13812,15411
1/23/19 22:00,109.487,9394,1.13871,9767
1/24/19 2:00,109.616,8839,1.13852,11424
1/24/19 6:00,109.75,11485,1.13472,43235
1/24/19 10:00,109.562,14539,1.13357,53983
1/24/19 14:00,109.676,22482,1.12992,65385
1/24/19 18:00,109.638,9157,1.13056,24077
1/24/19 22:00,109.741,9933,1.13076,12268
1/25/19 2:00,109.796,8941,1.1322,11502
1/25/19 6:00,109.796,12248,1.13304,37670
1/25/19 10:00,109.9,12025,1.13574,36736
1/25/19 14:00,109.772,22653,1.14054,62374
1/25/19 18:00,109.55,11697,1.14045,24408
1/27/19 22:00,109.421,9205,1.14152,9466
